CSV Column Name,Maps to product property
ID,id
Type,type
SKU,sku
Name,name
Published,published
Is featured?,featured
Visibility in catalog,catalog_visibility
Short description,short_description
description,description
Date sale price starts,date_on_sale_from
Date sale price ends,date_on_sale_to
Tax status,tax_status
Tax class,tax_class
In stock?,stock_status
Stock,stock_quantity
Backorders allowed?,backorders
Sold individually?,sold_individually
Weight (lbs),weight
Length (in),length
Width (in),width
Height (in),height
Allow customer reviews?,reviews_allowed
Purchase note,purchase_note
Sale price,sale_price
Regular price,regular_price
Categories,category_ids
Tags,tag_ids
Shipping class,shipping_class_id
Images,images
Download limit,download_limit
Download expiry days,download_expiry
Parent,parent_id
Grouped products,grouped_products
Upsells,upsell_ids
Cross-sells,cross_sell_ids
External URL,product_url
Button text,button_text
Position,menu_order
Attribute 1 name,attributes:name1
Attribute 1 global,attributes:taxonomy1
Attribute 1 value(s),attributes:value1
Attribute 2 name,attributes:name2
Attribute 2 global,attributes:taxonomy2
Attribute 2 value(s),attributes:value2
Attribute 3 name,attributes:name3
Attribute 3 global,attributes:taxonomy3
Attribute 3 value(s),attributes:value3
Attribute 4 name,attributes:name4
Attribute 4 global,attributes:taxonomy4
Attribute 4 value(s),attributes:value4
Attribute 5 name,attributes:name5
Attribute 5 global,attributes:taxonomy5
Attribute 5 value(s),attributes:value5
